,date,open,high,low,close,volume,vwap,Date_Time
493.0,2013-09-10 09:31:54.611,1680.5,1682.0,1680.5,1682.0,20262.0,1681.387400059224,2013-09-10 09:31:54.611
494.0,2013-09-10 09:36:28.873,1682.0,1682.25,1680.75,1681.5,19898.0,1681.518632525882,2013-09-10 09:36:28.873
495.0,2013-09-10 09:43:01.073,1681.5,1682.5,1681.25,1682.0,18911.0,1681.733832161176,2013-09-10 09:43:01.073
496.0,2013-09-10 09:46:54.244,1682.0,1682.75,1681.5,1681.75,21565.0,1682.1118942731277,2013-09-10 09:46:54.244
497.0,2013-09-10 09:53:00.224,1681.75,1682.5,1681.25,1682.0,24606.0,1681.9305047549378,2013-09-10 09:53:00.224
498.0,2013-09-10 09:59:08.330,1682.0,1683.0,1681.75,1682.0,20998.0,1682.4175754833793,2013-09-10 09:59:08.330
499.0,2013-09-10 10:03:02.750,1682.0,1682.25,1681.25,1681.25,21585.0,1681.8501042390549,2013-09-10 10:03:02.750
500.0,2013-09-10 10:08:23.763,1681.25,1682.25,1681.0,1681.75,25220.0,1681.5840305313243,2013-09-10 10:08:23.763
501.0,2013-09-10 10:16:57.395,1681.75,1682.0,1680.75,1681.5,19940.0,1681.5023821464392,2013-09-10 10:16:57.395
502.0,2013-09-10 10:24:53.734,1681.5,1681.5,1680.75,1681.5,22225.0,1681.2087289088863,2013-09-10 10:24:53.734
503.0,2013-09-10 10:30:41.461,1681.5,1681.75,1680.75,1681.0,27046.0,1681.2765658507728,2013-09-10 10:30:41.461
504.0,2013-09-10 10:35:00.012,1681.0,1681.25,1679.5,1680.0,23304.0,1680.2505900274632,2013-09-10 10:35:00.012
505.0,2013-09-10 10:41:59.697,1680.0,1680.5,1678.75,1679.25,20669.0,1679.6654168077798,2013-09-10 10:41:59.697
506.0,2013-09-10 10:45:13.650,1679.25,1679.75,1677.75,1678.25,18931.0,1678.6928714806402,2013-09-10 10:45:13.650
507.0,2013-09-10 10:49:21.674,1678.25,1678.25,1676.75,1677.5,23290.0,1677.6135680549592,2013-09-10 10:49:21.674
508.0,2013-09-10 10:56:07.001,1677.5,1679.0,1677.5,1678.5,20982.0,1678.3954341816795,2013-09-10 10:56:07.001
509.0,2013-09-10 11:02:31.649,1678.5,1679.25,1678.0,1679.0,22868.0,1678.6942561658213,2013-09-10 11:02:31.649
510.0,2013-09-10 11:11:35.860,1679.0,1680.0,1678.5,1679.5,24195.0,1679.3589481297788,2013-09-10 11:11:35.860
511.0,2013-09-10 11:22:43.591,1679.5,1680.0,1679.0,1679.75,21771.0,1679.5495957925682,2013-09-10 11:22:43.591
512.0,2013-09-10 11:33:29.028,1679.75,1680.0,1678.75,1679.75,24132.0,1679.39259075087,2013-09-10 11:33:29.028
513.0,2013-09-10 11:47:49.570,1679.75,1680.25,1678.75,1678.75,20134.0,1679.5998311314195,2013-09-10 11:47:49.570
514.0,2013-09-10 11:59:33.263,1678.75,1681.0,1678.5,1680.75,18403.0,1679.87802260501,2013-09-10 11:59:33.263
515.0,2013-09-10 12:08:19.427,1680.75,1681.25,1680.0,1680.0,24400.0,1680.4323053278688,2013-09-10 12:08:19.427
516.0,2013-09-10 12:15:46.787,1680.0,1680.5,1679.0,1679.75,19846.0,1679.885165776479,2013-09-10 12:15:46.787
517.0,2013-09-10 12:21:21.027,1679.75,1681.25,1679.0,1681.0,19606.0,1680.2838544323167,2013-09-10 12:21:21.027
518.0,2013-09-10 12:25:02.700,1681.0,1682.0,1680.75,1681.25,23221.0,1681.3915636708152,2013-09-10 12:25:02.700
519.0,2013-09-10 12:31:16.359,1681.25,1682.0,1680.75,1681.25,24183.0,1681.3988028780548,2013-09-10 12:31:16.359
520.0,2013-09-10 12:38:24.150,1681.25,1681.5,1680.25,1681.0,22616.0,1681.0068756632472,2013-09-10 12:38:24.150
521.0,2013-09-10 12:49:22.121,1681.0,1681.5,1680.75,1681.0,26916.0,1681.1572577648983,2013-09-10 12:49:22.121
522.0,2013-09-10 13:00:08.011,1681.0,1681.75,1680.5,1681.25,22186.0,1681.158016316596,2013-09-10 13:00:08.011
523.0,2013-09-10 13:08:30.263,1681.25,1682.0,1680.5,1681.5,25067.0,1681.2187537399768,2013-09-10 13:08:30.263
524.0,2013-09-10 13:14:17.505,1681.5,1681.5,1680.25,1681.5,20967.0,1681.0043640005724,2013-09-10 13:14:17.505
525.0,2013-09-10 13:23:05.991,1681.5,1681.75,1680.25,1681.0,17098.0,1680.888773540765,2013-09-10 13:23:05.991
526.0,2013-09-10 13:32:56.406,1681.0,1681.5,1679.75,1679.75,18852.0,1680.6351182898366,2013-09-10 13:32:56.406
527.0,2013-09-10 13:39:12.560,1679.75,1680.25,1679.25,1680.0,18572.0,1679.7249488477278,2013-09-10 13:39:12.560
528.0,2013-09-10 13:51:01.304,1680.0,1681.0,1680.0,1680.5,23462.0,1680.4038018924218,2013-09-10 13:51:01.304
529.0,2013-09-10 14:00:00.042,1680.5,1682.0,1680.0,1681.5,23958.0,1680.901379497454,2013-09-10 14:00:00.042
530.0,2013-09-10 14:06:54.206,1681.5,1682.5,1681.25,1682.0,25360.0,1681.6124901419557,2013-09-10 14:06:54.206
531.0,2013-09-10 14:14:31.867,1682.0,1682.25,1680.5,1681.0,22756.0,1681.3511271752504,2013-09-10 14:14:31.867
532.0,2013-09-10 14:23:53.174,1681.0,1682.0,1680.75,1682.0,23135.0,1681.4507132051006,2013-09-10 14:23:53.174
533.0,2013-09-10 14:31:16.343,1682.0,1682.75,1681.75,1682.5,22871.0,1682.1653841108828,2013-09-10 14:31:16.343
534.0,2013-09-10 14:38:15.488,1682.5,1682.75,1681.75,1682.0,23567.0,1682.2285717316586,2013-09-10 14:38:15.488
535.0,2013-09-10 14:45:21.158,1682.0,1682.25,1680.75,1680.75,18502.0,1681.6844530321046,2013-09-10 14:45:21.158
536.0,2013-09-10 14:50:03.128,1680.75,1682.5,1680.25,1682.0,21076.0,1681.5435922376162,2013-09-10 14:50:03.128
537.0,2013-09-10 14:55:02.691,1682.0,1682.25,1681.0,1681.25,19630.0,1681.522962302598,2013-09-10 14:55:02.691
538.0,2013-09-10 14:59:21.369,1681.25,1682.75,1681.25,1682.75,24834.0,1681.8898183941371,2013-09-10 14:59:21.369
539.0,2013-09-10 15:00:06.157,1682.75,1683.25,1682.25,1682.25,38621.0,1682.9591802387301,2013-09-10 15:00:06.157
540.0,2013-09-10 15:05:06.238,1682.25,1683.0,1682.0,1682.75,45163.0,1682.5763567522088,2013-09-10 15:05:06.238
541.0,2013-09-10 17:01:19.392,1682.75,1683.0,1681.5,1681.75,37481.0,1682.3216563058616,2013-09-10 17:01:19.392
542.0,2013-09-10 20:13:29.639,1681.75,1682.5,1679.75,1681.25,18522.0,1681.135069107008,2013-09-10 20:13:29.639
543.0,2013-09-10 21:17:54.755,1681.25,1684.0,1680.5,1681.25,15870.0,1682.264697542533,2013-09-10 21:17:54.755
544.0,2013-09-11 01:15:11.920,1681.25,1682.75,1680.0,1681.25,13687.0,1681.0805326221962,2013-09-11 01:15:11.920
545.0,2013-09-11 02:25:00.372,1681.25,1681.25,1679.75,1681.25,13108.0,1680.3192134574306,2013-09-11 02:25:00.372
546.0,2013-09-11 03:11:09.870,1681.25,1682.5,1680.0,1681.5,12345.0,1681.0184082624544,2013-09-11 03:11:09.870
547.0,2013-09-11 03:58:22.467,1681.5,1683.5,1681.25,1683.0,13709.0,1682.211576336713,2013-09-11 03:58:22.467
548.0,2013-09-11 05:14:33.068,1683.0,1683.25,1680.5,1681.5,14587.0,1681.7595804483444,2013-09-11 05:14:33.068
549.0,2013-09-11 06:12:53.444,1681.5,1683.0,1681.0,1682.5,13955.0,1682.2299355069867,2013-09-11 06:12:53.444
550.0,2013-09-11 06:53:15.426,1682.5,1682.75,1679.75,1680.0,15582.0,1681.4850789372354,2013-09-11 06:53:15.426
551.0,2013-09-11 07:31:41.946,1680.0,1681.75,1680.0,1680.5,15499.0,1680.8259242531776,2013-09-11 07:31:41.946
552.0,2013-09-11 08:06:26.903,1680.5,1681.5,1680.25,1681.0,14655.0,1680.8247867621972,2013-09-11 08:06:26.903
553.0,2013-09-11 08:28:07.406,1681.0,1681.25,1679.25,1679.75,15076.0,1680.12460201645,2013-09-11 08:28:07.406
554.0,2013-09-11 08:30:44.460,1679.75,1681.75,1679.5,1680.75,20946.0,1680.9862622935166,2013-09-11 08:30:44.460
555.0,2013-09-11 08:33:12.706,1680.75,1682.0,1680.5,1681.5,23149.0,1681.5750788370988,2013-09-11 08:33:12.706
556.0,2013-09-11 08:35:16.420,1681.5,1681.5,1679.75,1681.5,15928.0,1680.672903063787,2013-09-11 08:35:16.420
557.0,2013-09-11 08:37:27.336,1681.5,1682.75,1681.25,1682.0,20299.0,1681.974136656978,2013-09-11 08:37:27.336
558.0,2013-09-11 08:39:49.077,1682.0,1682.5,1680.75,1682.25,17885.0,1681.6574224210233,2013-09-11 08:39:49.077
559.0,2013-09-11 08:42:34.097,1682.25,1682.75,1681.75,1682.0,15338.0,1682.2922154127004,2013-09-11 08:42:34.097
560.0,2013-09-11 08:47:16.744,1682.0,1682.75,1681.25,1681.5,17012.0,1681.80970785328,2013-09-11 08:47:16.744
561.0,2013-09-11 08:51:56.425,1681.5,1682.25,1681.0,1681.5,17608.0,1681.5979100408906,2013-09-11 08:51:56.425
562.0,2013-09-11 08:55:40.172,1681.25,1681.5,1680.0,1680.25,16108.0,1680.711370126645,2013-09-11 08:55:40.172
563.0,2013-09-11 08:58:31.532,1680.25,1680.5,1678.5,1679.0,17835.0,1679.356181665265,2013-09-11 08:58:31.532
564.0,2013-09-11 09:01:58.511,1679.0,1680.75,1678.75,1680.25,17545.0,1679.700740951838,2013-09-11 09:01:58.511
565.0,2013-09-11 09:05:07.690,1680.25,1681.0,1680.0,1680.75,19094.0,1680.432059809364,2013-09-11 09:05:07.690
566.0,2013-09-11 09:09:17.432,1680.75,1681.5,1680.0,1680.0,21666.0,1680.7921859134128,2013-09-11 09:09:17.432
567.0,2013-09-11 09:12:39.389,1680.0,1680.25,1679.25,1679.75,21993.0,1679.8642181603238,2013-09-11 09:12:39.389
568.0,2013-09-11 09:15:55.586,1679.75,1681.0,1679.0,1679.0,23470.0,1679.7858436301663,2013-09-11 09:15:55.586
569.0,2013-09-11 09:19:26.361,1679.0,1680.25,1678.5,1679.25,20453.0,1679.1655013934387,2013-09-11 09:19:26.361
570.0,2013-09-11 09:22:18.364,1679.25,1679.5,1677.75,1678.5,18402.0,1678.5425904792958,2013-09-11 09:22:18.364
571.0,2013-09-11 09:26:54.378,1678.5,1679.0,1678.0,1678.0,17626.0,1678.4438897083853,2013-09-11 09:26:54.378
572.0,2013-09-11 09:32:45.741,1678.0,1679.0,1677.75,1678.75,16483.0,1678.3644815870898,2013-09-11 09:32:45.741
573.0,2013-09-11 09:36:13.454,1678.75,1680.0,1678.5,1679.5,20855.0,1679.3167106209542,2013-09-11 09:36:13.454
574.0,2013-09-11 09:41:35.063,1679.5,1680.0,1678.75,1679.5,19377.0,1679.322405429117,2013-09-11 09:41:35.063
575.0,2013-09-11 09:48:55.450,1679.5,1679.75,1678.25,1678.5,19132.0,1679.1518529165796,2013-09-11 09:48:55.450
576.0,2013-09-11 09:56:48.850,1678.5,1680.0,1678.5,1679.5,19589.0,1679.204017560876,2013-09-11 09:56:48.850
577.0,2013-09-11 10:01:30.431,1679.5,1680.75,1679.5,1680.5,21904.0,1680.1388330898467,2013-09-11 10:01:30.431
578.0,2013-09-11 10:08:08.583,1680.5,1681.5,1680.0,1681.5,22532.0,1680.538933516776,2013-09-11 10:08:08.583
579.0,2013-09-11 10:14:11.893,1681.5,1682.25,1681.0,1681.75,24101.0,1681.5448114186133,2013-09-11 10:14:11.893
580.0,2013-09-11 10:21:22.546,1681.75,1682.0,1681.0,1681.5,22739.0,1681.5508927393464,2013-09-11 10:21:22.546
581.0,2013-09-11 10:29:04.416,1681.5,1682.25,1681.5,1682.0,25918.0,1681.7944961030944,2013-09-11 10:29:04.416
582.0,2013-09-11 10:32:28.029,1681.75,1683.5,1681.5,1683.5,24275.0,1682.3604634397527,2013-09-11 10:32:28.029
583.0,2013-09-11 10:34:16.203,1683.5,1684.5,1683.25,1683.75,21941.0,1683.7793172599243,2013-09-11 10:34:16.203
584.0,2013-09-11 10:37:41.698,1683.75,1685.5,1683.5,1685.5,22973.0,1684.5365755452053,2013-09-11 10:37:41.698
585.0,2013-09-11 10:43:27.435,1685.5,1685.75,1684.5,1684.75,27856.0,1684.9273944572085,2013-09-11 10:43:27.435
586.0,2013-09-11 10:54:22.449,1684.75,1685.0,1684.0,1684.25,26327.0,1684.4982717362404,2013-09-11 10:54:22.449
587.0,2013-09-11 11:02:23.037,1684.25,1684.75,1683.75,1683.75,27327.0,1684.3922402751857,2013-09-11 11:02:23.037
588.0,2013-09-11 11:10:17.505,1683.75,1684.75,1683.5,1684.0,27563.0,1684.1216032362224,2013-09-11 11:10:17.505
589.0,2013-09-11 11:17:19.351,1684.0,1685.25,1684.0,1685.0,28485.0,1684.7759961383183,2013-09-11 11:17:19.351
590.0,2013-09-11 11:25:42.595,1685.0,1685.5,1684.5,1684.5,25109.0,1684.9587000677047,2013-09-11 11:25:42.595
591.0,2013-09-11 11:30:35.473,1684.5,1686.25,1684.25,1685.5,28392.0,1685.1145216962525,2013-09-11 11:30:35.473
592.0,2013-09-11 11:42:30.467,1685.5,1685.75,1684.75,1685.25,25429.0,1685.3291910810492,2013-09-11 11:42:30.467
593.0,2013-09-11 11:55:58.771,1685.25,1686.0,1684.5,1686.0,26675.0,1685.0877038425492,2013-09-11 11:55:58.771
594.0,2013-09-11 12:06:41.575,1686.0,1686.25,1685.25,1685.25,27064.0,1685.6648499852201,2013-09-11 12:06:41.575
595.0,2013-09-11 12:15:51.385,1685.25,1685.5,1684.75,1685.0,25298.0,1685.226075183809,2013-09-11 12:15:51.385
596.0,2013-09-11 12:28:00.507,1685.0,1685.75,1684.75,1685.5,25104.0,1685.2135416666667,2013-09-11 12:28:00.507
597.0,2013-09-11 12:35:33.350,1685.5,1687.5,1685.25,1687.25,23794.0,1686.5198054131295,2013-09-11 12:35:33.350
598.0,2013-09-11 12:44:29.929,1687.25,1687.5,1686.5,1687.0,23262.0,1686.9317556529963,2013-09-11 12:44:29.929
599.0,2013-09-11 12:57:16.278,1687.0,1687.5,1686.75,1686.75,23642.0,1687.082342864394,2013-09-11 12:57:16.278
600.0,2013-09-11 13:08:59.436,1686.75,1687.5,1686.5,1687.25,20296.0,1686.8614751675207,2013-09-11 13:08:59.436
601.0,2013-09-11 13:17:40.165,1687.25,1687.75,1686.0,1686.0,22857.0,1686.594205276283,2013-09-11 13:17:40.165
602.0,2013-09-11 13:29:02.648,1686.0,1686.5,1685.5,1686.25,24216.0,1686.035317558639,2013-09-11 13:29:02.648
603.0,2013-09-11 13:42:30.938,1686.25,1686.75,1685.75,1686.25,29047.0,1686.3849278755122,2013-09-11 13:42:30.938
604.0,2013-09-11 13:55:50.201,1686.25,1687.0,1685.25,1685.25,24523.0,1686.2576254944338,2013-09-11 13:55:50.201
605.0,2013-09-11 14:05:50.490,1685.25,1686.25,1685.0,1686.0,24088.0,1685.5792718365992,2013-09-11 14:05:50.490
606.0,2013-09-11 14:15:04.003,1686.0,1686.0,1685.0,1685.5,25627.0,1685.4761774690755,2013-09-11 14:15:04.003
